구간 / 차종,평일-1종,평일-2종,평일-3종,평일-4종,평일-5종,주말-1종,주말-2종,주말-3종,주말-4종,주말-5종
 서안동 ~ 예천 ,29412,540,1200,749,2168,38040,264,1116,314,946
 예천 ~ 영주 ,29246,535,1194,746,2179,37738,261,1111,312,952
 영주 ~ 풍기 ,25259,419,993,629,1908,32885,209,943,268,847
 풍기 ~ 단양 ,30170,497,1357,790,2234,41294,258,1277,337,957
 단양 ~ 북단양 ,29548,494,1315,781,1854,39929,249,1210,325,775
 북단양 ~ 남제천 ,31911,542,1405,1001,2782,44646,279,1336,402,1084
 남제천 ~ 제천JC ,35513,642,1543,1199,3793,50552,324,1434,499,1556
 제천JC ~ 제천 ,26398,450,1046,603,1197,33167,218,866,223,411
 제천 ~ 신림 ,39871,773,1611,826,1573,50035,388,1413,312,575
 신림 ~ 남원주 ,39982,768,1638,878,1724,51330,386,1452,337,643
 남원주 ~ 만종JC ,49886,1009,1960,1024,1836,63042,502,1643,405,697
 만종JC ~ 신평JC ,31921,820,1616,899,1352,43535,400,1252,338,514
 신평JC ~ 북원주 ,16788,631,956,604,803,23525,305,746,228,311
 북원주 ~ 횡성 ,17915,687,994,636,822,24346,326,756,238,316
 횡성 ~ 홍천 ,17722,682,919,547,661,23275,333,709,203,250
 홍천 ~ 춘천JC ,21281,635,969,480,493,25088,314,745,197,192
 춘천JC ~ 춘천 ,28738,723,1033,466,422,34383,351,757,192,178
 동대구JC ~ 동대구 ,72366,2352,2947,2737,3972,80124,1012,2153,1162,1455
 동대구 ~ 대구 ,42710,1426,1740,1960,2957,51514,606,1233,798,931
 대구 ~ 수성 ,35911,1008,1422,1622,2572,44506,417,1129,637,820
 수성 ~ 청도 ,27345,780,1217,1493,2396,36268,307,1015,574,727
 청도 ~ 밀양 ,27647,792,1224,1506,2428,37098,314,1022,575,732
 밀양 ~ 남밀양 ,28462,791,1199,1447,2414,38805,317,1006,545,724
 남밀양 ~ 삼랑진 ,30444,864,1264,1435,2403,41147,360,1046,544,720
 삼랑진 ~ 상동 ,31258,879,1292,1430,2435,42167,366,1056,538,736
 상동 ~ 김해부산 ,33475,1174,1438,1546,2549,43376,487,1099,571,776
 김해부산 ~ 대동JC ,40711,1817,1999,1956,3053,53746,780,1435,731,967
 남양주 ~ 화도 ,9508,115,421,102,83,16625,73,454,48,40
 화도 ~ 서종 ,12775,184,526,156,159,22633,109,547,70,68
 서종 ~ 설악 ,12934,185,528,156,160,22968,110,549,70,69
 설악 ~ 강촌 ,13510,202,549,168,177,23951,117,563,75,76
 강촌 ~ 남춘천 ,13732,210,557,178,190,24225,121,567,80,80
 남춘천 ~ 동산JC ,14163,223,578,193,238,24995,129,584,88,100
 동산JC ~ 동산 ,14697,229,585,197,244,25827,131,588,89,101
 동산 ~ 조양JC ,28845,438,1148,399,495,47810,239,1162,178,216
 조양JC ~ 춘천JC ,28837,438,1148,398,495,47799,239,1162,178,215
 춘천JC ~ 동홍천 ,25275,319,962,283,327,42502,194,1030,140,149
 동홍천 ~ 내촌 ,22106,325,809,274,384,38322,195,831,140,177
 내촌 ~ 인제 ,21201,299,787,254,341,37229,177,813,128,151
 인제 ~ 서양양 ,19674,266,752,239,331,35147,160,768,117,147
 서양양 ~ 양양JC ,19363,258,747,237,328,34596,156,756,115,144
 조양 ~ 조양JC ,8,,,,,12,,,,
 속초 ~ 북양양 ,8593,219,358,153,240,13737,106,298,64,110
 북양양 ~ 양양 ,13940,301,536,206,274,22786,162,485,93,124
 양양 ~ 양양JC ,19278,389,784,277,412,32106,218,741,126,182
 양양JC ~ 하조대 ,12164,290,369,196,448,18415,153,303,85,199
 하조대 ~ 남양양 ,13990,362,512,226,499,19726,184,419,97,226
 남양양 ~ 북강릉 ,12916,342,482,212,493,18022,171,404,92,225
 북강릉 ~ 강릉JC ,13643,360,537,259,623,19436,182,461,113,290
 강릉JC ~ 강릉 ,46911,1074,2241,939,1981,59720,541,2060,420,823
 강릉 ~ 남강릉 ,35337,722,1340,631,1592,41424,353,1175,291,714
 남강릉 ~ 옥계 ,38743,804,1424,618,1696,44624,397,1245,286,762
 옥계 ~ 망상 ,39203,821,1433,593,2069,44850,405,1258,270,1003
 망상 ~ 동해 ,35420,729,1150,567,2050,40393,357,992,258,1004
 동해 ~ 삼척 ,29872,522,995,395,1130,34034,273,907,179,475
 삼척 ~ 근덕 ,25340,432,746,350,973,29086,220,668,155,399
 울산JC ~ 범서 ,26561,839,1592,959,3549,33285,293,862,297,1072
 범서 ~ 남경주 ,25046,637,1228,781,3167,32934,254,797,264,999
